miRNA,Target Gene
mmu-let-7i-3p,Agpat5
mmu-let-7i-3p,Ppp1r3a
mmu-let-7i-3p,Dnmt3a
mmu-let-7i-5p,Heg1
mmu-let-7i-5p,Pak3
mmu-let-7i-5p,Zfp142
mmu-let-7i-5p,Pura
mmu-let-7i-5p,Gna13
mmu-let-7i-5p,Ttn
mmu-let-7i-5p,Zbtb34
mmu-let-7i-5p,Kif21b
mmu-let-7i-5p,Prr14l
mmu-let-7i-5p,Fam135a
mmu-let-7i-5p,Mpdz
mmu-let-7i-5p,Mga
mmu-let-7i-5p,Ttn
mmu-let-7i-5p,Heg1
mmu-let-7i-5p,Dnah17
mmu-let-7i-5p,Macf1
mmu-let-7i-5p,Macf1
mmu-let-7i-5p,Rimbp3
mmu-let-7i-5p,Pak3
mmu-let-7i-5p,Tshz1
mmu-let-7i-5p,Dnah17
mmu-let-7i-5p,Ryr1
mmu-let-7i-5p,Syne2
mmu-let-7i-5p,Gtf3c1
mmu-let-7i-5p,Zfp236
mmu-let-7i-5p,Ttn
mmu-let-7i-5p,Tmtc1
mmu-let-7i-5p,Mga
mmu-let-7i-5p,Myo6
mmu-let-7i-5p,Snx19
mmu-miR-100-3p,Zzz3
mmu-miR-100-3p,Mphosph9
mmu-miR-100-3p,Polq
mmu-miR-100-3p,Kmt2d
mmu-miR-100-3p,Kif26a
mmu-miR-100-3p,Zc3h7b
mmu-miR-100-3p,Map3k9
mmu-miR-100-3p,Bod1l
mmu-miR-100-3p,Map1b
mmu-miR-100-3p,Crocc
mmu-miR-100-3p,Polq
mmu-miR-100-3p,Arid2
mmu-miR-100-3p,Lyst
mmu-miR-100-3p,Plekha6
mmu-miR-100-3p,Plekha6
mmu-miR-100-3p,Polq
mmu-miR-100-3p,Arid2
mmu-miR-100-3p,Polq
mmu-miR-100-3p,Ddx19b
mmu-miR-100-3p,Nrp1
mmu-miR-100-3p,Crocc
mmu-miR-100-3p,Lyst
mmu-miR-100-3p,Crocc
mmu-miR-100-3p,Crocc
mmu-miR-100-3p,Zzz3
mmu-miR-100-3p,Utp20
mmu-miR-100-3p,Mms19
mmu-miR-100-3p,Ryr2
mmu-miR-100-3p,Numa1
mmu-miR-100-3p,Numa1
mmu-miR-100-5p,Erc2
mmu-miR-100-5p,Naip6
mmu-miR-100-5p,Prkce
mmu-miR-100-5p,Dclk1
mmu-miR-100-5p,Dclk1
mmu-miR-100-5p,Naip6
mmu-miR-100-5p,Rtl1
mmu-miR-100-5p,Slc40a1
mmu-miR-100-5p,Slc4a1
mmu-miR-100-5p,Naip2
mmu-miR-100-5p,Naip2
mmu-miR-100-5p,Stk4
mmu-miR-100-5p,Csnk1d
mmu-miR-100-5p,Stk4
mmu-miR-100-5p,Wwc1
mmu-miR-100-5p,Ror2
mmu-miR-100-5p,Naip2
mmu-miR-100-5p,Ap1g1
mmu-miR-100-5p,Naip5
mmu-miR-100-5p,Csnk1d
mmu-miR-100-5p,Pdp1
mmu-miR-100-5p,AW549877
mmu-miR-100-5p,Erc2
mmu-miR-100-5p,Naip2
mmu-miR-100-5p,Ap1g1
mmu-miR-100-5p,Naip1
