,Sample,Detector,Avg 3m Ct1,Avg 3m Ct2,Avg 3m Ct3,Media 3m ct,Avg 6m Ct1,Avg 6m Ct2,Media 6m ct,MEDIA CT 12 MESI,RQ1 3m ,RQ2 3m,RQ3 3m,Media RQ 3m,RQ1 6m,RQ2 6m,Media RQ 6m,RQ 12 MESI,Targets
506,HF_3mesi:setA_1,mmu-miR-495-001663,38.946,40.0,40.0,39.6486666666667,0.0,31.852,31.852,0.0,1.675,0.0,0.043,0.859,0.0,80.702,80.702,0.0,
507,"LF_3mesi,setA_1",mmu-miR-495-001663,40.0,40.0,35.213,38.4043333333333,0.0,38.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
508,HF_3mesi:setA_1,mmu-miR-496-001953,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
509,"LF_3mesi,setA_1",mmu-miR-496-001953,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
510,HF_3mesi:setA_1,mmu-miR-497-001346,30.513,31.931,30.383,30.9423333333333,32.977,32.917,32.947,34.8016471862793,0.645,0.601,1.448,0.898,0.479,0.244,0.3615,0.0,
511,"LF_3mesi,setA_1",mmu-miR-497-001346,30.189,30.761,30.681,30.5436666666667,31.417,30.696,31.0565,33.6397171020508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
512,HF_3mesi:setA_1,mmu-miR-499-001352,40.0,40.0,40.0,40.0,0.0,35.243,35.243,0.0,0.0,0.0,0.0,0.0,0.0,30.768,30.768,0.884647846221924,
513,"LF_3mesi,setA_1",mmu-miR-499-001352,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
514,HF_3mesi:setA_1,mmu-miR-500-002606,33.791,40.0,32.699,35.4966666666667,35.99,34.703,35.3465,0.0,0.899,0.008,2.889,1.26533333333333,0.149,0.692,0.4205,0.0,
515,"LF_3mesi,setA_1",mmu-miR-500-002606,33.947,32.615,33.994,33.5186666666667,32.741,33.986,33.3635,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
